Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,vid_index,frame_number,obj,action,class
1264,1264,1264,64,ZY20210800004/H4/C6/N01/S249/s01/T2,64,Safebox/Safedoor,open,Safe
1265,1265,1265,65,ZY20210800004/H4/C6/N01/S249/s01/T2,65,Safebox/Safedoor,open,Safe
1266,1266,1266,66,ZY20210800004/H4/C6/N01/S249/s01/T2,66,Safebox/Safedoor,open,Safe
1267,1267,1267,67,ZY20210800004/H4/C6/N01/S249/s01/T2,67,Safebox/Safedoor,open,Safe
1268,1268,1268,68,ZY20210800004/H4/C6/N01/S249/s01/T2,68,Safebox/Safedoor,open,Safe
1269,1269,1269,69,ZY20210800004/H4/C6/N01/S249/s01/T2,69,Safebox/Safedoor,open,Safe
1270,1270,1270,70,ZY20210800004/H4/C6/N01/S249/s01/T2,70,Safebox/Safedoor,open,Safe
1271,1271,1271,71,ZY20210800004/H4/C6/N01/S249/s01/T2,71,Safebox/Safedoor,open,Safe
1272,1272,1272,72,ZY20210800004/H4/C6/N01/S249/s01/T2,72,Safebox/Safedoor,open,Safe
1273,1273,1273,73,ZY20210800004/H4/C6/N01/S249/s01/T2,73,Safebox/Safedoor,open,Safe
1274,1274,1274,74,ZY20210800004/H4/C6/N01/S249/s01/T2,74,Safebox/Safedoor,open,Safe
1275,1275,1275,75,ZY20210800004/H4/C6/N01/S249/s01/T2,75,Safebox/Safedoor,open,Safe
1276,1276,1276,76,ZY20210800004/H4/C6/N01/S249/s01/T2,76,Safebox/Safedoor,open,Safe
1277,1277,1277,77,ZY20210800004/H4/C6/N01/S249/s01/T2,77,Safebox/Safedoor,open,Safe
1278,1278,1278,78,ZY20210800004/H4/C6/N01/S249/s01/T2,78,Safebox/Safedoor,open,Safe
1279,1279,1279,79,ZY20210800004/H4/C6/N01/S249/s01/T2,79,Safebox/Safedoor,open,Safe
1280,1280,1280,80,ZY20210800004/H4/C6/N01/S249/s01/T2,80,Safebox/Safedoor,open,Safe
1281,1281,1281,81,ZY20210800004/H4/C6/N01/S249/s01/T2,81,Safebox/Safedoor,open,Safe
1282,1282,1282,82,ZY20210800004/H4/C6/N01/S249/s01/T2,82,Safebox/Safedoor,open,Safe
1283,1283,1283,83,ZY20210800004/H4/C6/N01/S249/s01/T2,83,Safebox/Safedoor,open,Safe
