Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,vid_index,frame_number,obj,action,class
388408,388408,388408,208,ZY20210800002/H2/C5/N35/S265/s02/T4,208,bottleddrinks,carry,Bottle
388409,388409,388409,209,ZY20210800002/H2/C5/N35/S265/s02/T4,209,bottleddrinks,carry,Bottle
388410,388410,388410,210,ZY20210800002/H2/C5/N35/S265/s02/T4,210,bottleddrinks,carry,Bottle
388411,388411,388411,211,ZY20210800002/H2/C5/N35/S265/s02/T4,211,bottleddrinks,carry,Bottle
388412,388412,388412,212,ZY20210800002/H2/C5/N35/S265/s02/T4,212,bottleddrinks,carry,Bottle
388413,388413,388413,213,ZY20210800002/H2/C5/N35/S265/s02/T4,213,bottleddrinks,carry,Bottle
388414,388414,388414,214,ZY20210800002/H2/C5/N35/S265/s02/T4,214,bottleddrinks,carry,Bottle
388415,388415,388415,215,ZY20210800002/H2/C5/N35/S265/s02/T4,215,bottleddrinks,carry,Bottle
388416,388416,388416,216,ZY20210800002/H2/C5/N35/S265/s02/T4,216,bottleddrinks,carry,Bottle
388417,388417,388417,217,ZY20210800002/H2/C5/N35/S265/s02/T4,217,bottleddrinks,carry,Bottle
388418,388418,388418,218,ZY20210800002/H2/C5/N35/S265/s02/T4,218,bottleddrinks,carry,Bottle
388419,388419,388419,219,ZY20210800002/H2/C5/N35/S265/s02/T4,219,bottleddrinks,carry,Bottle
388420,388420,388420,220,ZY20210800002/H2/C5/N35/S265/s02/T4,220,bottleddrinks,carry,Bottle
388421,388421,388421,221,ZY20210800002/H2/C5/N35/S265/s02/T4,221,bottleddrinks,carry,Bottle
388422,388422,388422,222,ZY20210800002/H2/C5/N35/S265/s02/T4,222,bottleddrinks,putdown,Bottle
388423,388423,388423,223,ZY20210800002/H2/C5/N35/S265/s02/T4,223,bottleddrinks,putdown,Bottle
388424,388424,388424,224,ZY20210800002/H2/C5/N35/S265/s02/T4,224,bottleddrinks,putdown,Bottle
388425,388425,388425,225,ZY20210800002/H2/C5/N35/S265/s02/T4,225,bottleddrinks,putdown,Bottle
388426,388426,388426,226,ZY20210800002/H2/C5/N35/S265/s02/T4,226,bottleddrinks,putdown,Bottle
388427,388427,388427,227,ZY20210800002/H2/C5/N35/S265/s02/T4,227,bottleddrinks,putdown,Bottle
388428,388428,388428,228,ZY20210800002/H2/C5/N35/S265/s02/T4,228,bottleddrinks,putdown,Bottle
